seq,company_id,ref_site,title,emp_type,career,edu_level,due_date,province,city,job_duties,preferences,work_dw_name,work_condition,manager,phone,phone_visible,email,email_visible,salary_type,salary,negotiable,korean_level,industry,position,apply_type,apply_url,language,language_level,visa_sponsor,eligible_visa
IP1,㈜쓰리아이,KLIK,"B2B Sales, Marketing & CS 전문가",CONTRACT,EXPERIENCED,BACHELOR,2/14/25,1100000000,1168000000,"[주요업무]

3D 디지털 트윈 사업 분야에서 제품 도입과 고객 만족을 촉진하기 위해, 기업 고객 관리,마케팅 콘텐츠 개발을 담당할 적극적이고 다재다능한 영업, 마케팅 및 CS 전문가를 찾습니다. 이 직무는 시장 조사, 콘텐츠 제작, 고객 지원 등을 통한 회사의 혁신적인 기술을 사용할 고객을 발굴하고 지원하는데 기여를 합니다.
.* 영업 및 고객 지원
- 영업 전략 수립 및 고객과의 소통 지원
- 해외 주요 기업 고객 관리 및 지원
* 시장 조사 및 마케팅 콘텐츠 개발
- 시장 동향 파악 및 경쟁사 조사
- 블로그 게시물, 사례 연구, 온보딩 자료 등의 마케팅 자료 제작
* Customer Success 및 지원
- 고객 문의의 첫번째 접점으로서, 기술적 및 비기술적 문제 해결 지원
- 3D 디지털 트윈 제품에 대한 사용자 메뉴얼, FAQ, 가이드 개발 및
유지 관리
- 신규 고객 교육 및 온보딩 지원
* 고객 지표 관리, 보고
- 고객의 제품 사용 데이터를 모니터링 하여, 새로운 영업 기회 발굴
- 제품 사용 유지율, 고객 만족도, 매출 기요도 등의 주요 영업
지표 추적 및 보고
- 내부 팀과 고객의 인사이트를 공유하여 영업 전략을 개선하고
고객의 경험을 향상","[자격요건]

* 학력 : 비즈니스, 마케팅 또는 관련 분야 학사 학위 이상 (또는 이에 상응하는 경력자)
* 언어 : 일본어, 영어를 유창하게 듣고, 쓰고, 말할 수 있는 분
* 경력 : B2B 사업 환경에서 영업, 마케팅 또는 고객 지원 직무 경험 2년 이상
* 역량
- 내부 부서와 외부 고객과의 탁월한 소통 능력 (언어 및 문서)
- 새로운 도구와 기술을 배우고 적응하려는 의지
- Google Workspace, MS Office, CRM 소프트웨어(Hubspot),
Zendesk, Jira, Illustrator 등과 같은 도구 사용에 익숙
- 영업 및 매출 데이터를 해석하고 분석하는 능력

[우대사항]

* SaaS 서비스나 3D Digital Twin 서비스 관련 기업 고객 관리에 대한 경험
* 다양한 고객층 및 내부 팀원들과 효과적으로 소통할 수 있는 일본어, 영어,
한국어 능력",,,담당자,1588-9350,FALSE,helpdesk@jobkorea.co.kr,FALSE,,0,TRUE,BASIC,A080043,"영업, 마케팅, 고객상담",HOMEPAGE,https://www.klik.co.kr/jobs/0JGYFG1YA8S56/,"ENG, JPN","NATIVE, INTERMEDIATE",FALSE,"F-2, F-5, F-6, F-4"
IP2,리디㈜,KLIK,[리디 주식회사] 마케팅 디자이너 채용,FULL_TIME,IRRELEVANT,IRRELEVANT,2/14/25,1100000000,1168000000,"콘텐츠본부와 협업하여 리워드형 프로모션 페이지 디자인
웹툰/웹소설 작품 소개 페이지 디자인
SNS용 콘텐츠 소개 이미지 제작 (페이스북, 인스타그램, 트위터 등)
마케팅용 외부광고 이미지 제작
업무 효율성을 높이기 위한 템플릿 및 가이드 제작","공통 지원 자격

해외출장에 결격사유가 없으신 분
남성의 경우 병역필 또는 면제자이신 분

자격 요건
웹/앱 기반 디자인 경력 3년 이상
비쥬얼 그래픽 실력 중급 이상 (포트폴리오에 그래픽 관련 작업물을 꼭 첨부해주세요)
Figma, Photoshop, Illustrator 스킬 중급 이상
마케팅/기획팀과의 커뮤니케이션을 즐기고 적극적인 분

우대사항
웹툰에 대한 이해가 높으신 분 우대
SNS 운영 및 외부 마케팅 경험이 있으신 분 우대
커머스 또는 에이전시 출신 우대
Figma 활용이 능숙하신 분 우대
AI 툴 사용 경험자",주5일,"음료/간식 제공, 국민연금 , 가족 건강검진, 건강검진, 식사 지원, 고용보험, 경조휴가, 경조금, 야간교통비 지급, 저녁 식사 지원, 연차제도, 도서 구입비 지원, 카페테리아, 리프레시 휴가, 산재보험, 퇴직금, 퇴직연금, 임직원 할인, 수유실, 휴식공간, 반차제도, 건강보험, 웰컴키트, 헬스비, 점심 식사 지원, 님/닉네임 호칭, 심리상담

수습 기간 안내

모든 신규입사자는 3개월간의 수습 기간이 있으며 수습 평가 결과에 따라 고용에 적합하지 않다고 판단될 경우, 수습 기간이 연장되거나 채용 취소가 될 수 있습니다.",담당자,1588-9350,FALSE,helpdesk@jobkorea.co.kr,FALSE,,0,TRUE,ADVANCED,A120063,마케팅 디자이너,HOMEPAGE,https://www.klik.co.kr/jobs/0GYBAFPCK7178,,,FALSE,UNKNOWN
IP3,㈜센트비(SENTBE),KLIK,[해외 송금/센트비] CX Manager (Vietnam),FULL_TIME,IRRELEVANT,IRRELEVANT,2/14/25,4100000000,4127300000,"고객의 송금 서비스 이용 지원
온라인/오프라인 마케팅 활동 지원
번역, 리서치, 콘텐츠 제작 등 마케팅/CX 관련 업무 지원","자격요건
국적: 베트남인
비자 유형: D2 또는 F 비자
고객 중심
의사소통 및 팀워크 능력 우수
한국어 및 영어 능통
주말 근무 가능
김해 또는 안산 근무 가능자

우대사항
송금 업무 경험자 우대
혜택 및 복지
[센트비는 구성원의 건강을 최우선으로 생각해요]

연차 : 기본 연차 15일을 드립니다.(입사 첫 해는 11개입니다.) 그 외에도 생일 휴가, 입사 기념일 휴가, 샌드위치 휴가, 이사 휴가 등 다양한 유급 휴가를 드립니다.
결혼 휴가: 주말 포함 14일
이사 휴가: 1일
여성 보건 휴가: 5일
입사 기념일 휴가 : 1일
장기근속 휴가 : 10일(3년), 15일(5년), 20일(7년), 30일(10년) + 리프레시 비용
리모트 근무 : 효율적인 업무 진행을 위하여 각 부문 또는 팀별 업무 특성에 따라 효율적인 방식으로 리모트 근무제를 운영하고 있습니다. (주2회 리모트 근무)
문화생활비 : 매년 180만원의 문화생활비를 드립니다. 임직원의 문화 생활, 교육, 운동, 자기계발 등 다양한 곳에 사용하실 수 있습니다.",,"근무형태 : 정규직
근무시간 : 10:00~19:00 / 주5일 (주말이 포함될 수 있습니다.)
근무지역 : 경기도 안산시 단원구 다문화2길 51 4층 센트비CS센터
경상남도 김해시 분성로 322 1층 센트비CS센터",담당자,1588-9350,FALSE,helpdesk@jobkorea.co.kr,FALSE,,0,TRUE,ADVANCED,A070042,고객상담 매니저,HOMEPAGE,https://www.klik.co.kr/jobs/0GW7486K7714M,VIE,NATIVE,TRUE,"D-2, F-2, F-4, F-5, F-6"
IP4,오니스트,KLIK,"[오니스트] 글로벌 브랜드 마케터 - 미국 (인턴, 신입)",INTERN,NEW_COMER,BACHELOR,2/14/25,1100000000,1156000000,"[주요 업무]
업무 예시
-글로벌 소셜미디어 콘텐츠 기획 및 운영
- 인플루언서 시딩 및 협찬
- Shopify 기반 자사몰 운영 및 프로모션 기획

[얻어가실 수 있는 것]
글로벌 시장에서 새롭게 부상하는 이너뷰티 카테고리에서 성장 경험을 만들 수 있어요.
주도적으로 의견을 내면, 무엇이든 시도해볼 수 있는 주도적인 환경에서 일할 수 있어요.
자율과 책임이 공존하는 문화에서 논리적인 사고와 넓은 시각을 가질 수 있어요.","
[필수요건]
- 원어민 수준의 영어 실력
- 북미 문화권에 대해 익숙하신 분
- 인스타그램, 틱톡, 트위터 등의 소셜미디어에 익숙하신 분
- 구조적인 논리 흐름으로 문제를 정의하고, 해결하시는 분
- 업무의 우선순위를 가지고 속도감 있는 업무가 가능하신 분
- 꼼꼼하고 디테일한 업무를 해나갈 수 있는 분
- 열정적이고 진취적인 사고를 가지신 분
- 인턴의 경우 6개월 이상 근무 가능자 (3개월+3개월 연장 계약 후 정규직 전환 심사)",,"- 오전 8시 ~ 10시 중 자율출근제
- 자유로운 분위기, 수평적인 문화 (영어이름 사용)
- 야근 식대 별도 지원
- 1시간 단위 연차 사용
- 사내/외 스터디, 교육 등 성장 활동비 지원 (무제한 지원)
- 도서 구매 성장 활동비 지원 (무제한 지원)
- 장비 및 소프트웨어 제공
- 이너뷰티 실천지원금 (매월 지급)",담당자,1588-9350,FALSE,helpdesk@jobkorea.co.kr,FALSE,MONTHLY_SALARY,2100000,FALSE,NATIVE,A120064,글로벌 브랜드 마케터,HOMEPAGE,https://www.klik.co.kr/jobs/0JEDMES0F052R,ENG,NATIVE,TRUE,"D-10, F-2, F-4, F-5, F-6"
IP5,기아㈜,KLIK,[KIA] [외국인 채용] 차량 내 경험 트렌드/UX 분석 - 기간 연장,CONTRACT,NEW_COMER,BACHELOR,2/14/25,1100000000,1165000000,"[조직소개]
우리 조직의 영문 명칭은 Global Brand and CX(Customer Experience) Division으로, 영문을 구성하는 'Global', 'Brand', 'CX'가 고객경험본부의 역할과 책임을 명확히 보여줍니다.

먼저 우리 조직은 기아의 브랜드 전략을 수립하고 이를 구체화하며 전파하는 중심역할을 수행합니다. 기아는 최근 브랜드 중심 경영을 선포하고 전사의 역량을 중장기적 브랜드 향상에 집중하고 있으며 이를 우리 조직 중심으로 전사와 연계하여 추진되고 있습니다.

두 번째로 수행하는 역할은 CX(고객경험)입니다. 기아의 고객이 기아와 제품을 인지하는 영역부터 제품을 구매하고 보유하고 재구매하는 전체 구매여정에 새로운 고객경험을 설계합니다. 마케팅, 온-오프라인 고객채널, AS 영역에서 회사의 고객 경험 전략을 수립합니다. 최근에는 온라인상의 고객경험이 중요해 짐에 따라 회사의 디지털 역량을 강화하는 데 집중하고 있습니다.

마지막으로 이러한 브랜드, 고객경험 전략을 전 세계의 해외 권역본부에 전파하고 실행하는 역할을 수행하고 있습니다. 차량경험팀은 Global Brand and CX(Customer Experience) Division에서 차량 내 고객 경험 개선 기획 및 개발업무를 중심으로 수행하고 있습니다.


직무상세

[트랜드/UX 분석]
- 자율 주차, 충전, 커넥티비티 등 다양한 차량경험 개선 영역에서 트랜드/UX 분석을통한 인사이트 발굴

[조사]
- 브랜드와 연계된 신규 차량 사운드, 신규 AI 보이스 등 도출된 결과물에 대한 전문가 등의 조사를 통해서 방향성 점검 및 개선 방안 제안","[지원 자격]
- 외국인으로서, 학사 이상 학위 보유자
- 업무 활동을 위한 체류자격을 보유 또는 향후 E-7체류자격 발급에 결격사유가 없으신 분

[우대사항]
- 아래의 어학 능력을 보유하신 분
 · 비즈니스 수준의 한국어 활용 능력
  * TOPIK Level 4 이상 혹은 유사 자격
 · 원어민 수준의 영어 활용 능력
  * OPIc Level AL 이상 혹은 유사 자격
- 아래의 역량을 보유하신 분
 · 다양한 경험 분야에 대해 열린 태도와 창의적 사고
 · 새로운 기술/트렌드/환경 변화에 높은 적응력
 · 적극적이고 긍정적인 성향의 Fast learner
 · 비즈니스 니즈와 새로운 영역의 업무에 대한 신속한 이해
 · 급변하는 산업 환경 및 기술에 대한 이해력 및 창의력
 · 다양한 분야에서의 대내외 네트워킹 및 커뮤니케이션 역량
 · 데이터 기반의 분석적인 문제 해결 능력",,"본 채용은 계약직 채용으로, 1년 근무 후 정규직 전환 또는 계약직 연장 여부에 대해 상의 예정입니다(계약직 최대 2년)",담당자,1588-9350,FALSE,helpdesk@jobkorea.co.kr,FALSE,,0,TRUE,ADVANCED,A010001,글로벌 브랜드 고객경험 매니저,HOMEPAGE,https://www.klik.co.kr/jobs/0HEW4X9ES352Z,ENG,NATIVE,TRUE,"D-2, D-10, E-7, F-2, F-4, F-5, F-6"
IP6,㈜에이든랩,KLIK,"기획, 마케팅, 컨텐츠 경력 (화장품, 건기식, 패션)",FULL_TIME,EXPERIENCED,BACHELOR,2/14/25,1100000000,1144000000,"에이든랩은 압도적인 글로벌 인플루언서 마케팅 퍼포먼스를 바탕으로, 글로벌 타켓의 뷰티 브랜드를 런칭합니다.
전문가 여러분의 많은 지원과 관심 부탁드립니다.


[브랜드 마케팅 부문 담당업무 ]

1. 뷰티/건기식/패션 브랜드 브랜딩 및 국내외 마케팅 전략 수립

2. 국내외 마케팅 커뮤니케이션 전략 수립 및 KPI 설정 및 조직관리

3. 마케팅 전략 및 성과 관리. 전략 기반 매출 분석 및 대응전략

4. 제품에 맞는 홍보 컨셉, 마케팅 툴 기획 및 운영

5. 브랜드 및 제품 콘텐츠 기획 및 개발/제품 메세지, 영상, 비주얼, 상세페이지 등 기획 및 관련 조직 관리

6. 온, 오프라인 유통 채널별 마케팅 커뮤니케이션과 프로모션 기획 및 실행

7. 국내외 경쟁사 분석 및 마켓 인사이트 발굴



[제품 기획 및 개발 부문 담당업무]
1. 글로벌 타켓 신규 화장품(건기식) 기획 및 개발관련 제반 업무
2.스킨케어, 색조, 바디/헤어, 더마, 이너뷰티 등 뷰티/건기식 관련 제품 기획
2. 브랜딩 전략에 맞는 제품컨셉, 성분, 패키지, 디자인 기획 및 개발
3. 제품 생산 컨트롤 (제휴 OEM사 관리를 통한 품질관리)
4. 브랜드 컨셉 및 브랜딩 전략 수립



[크리에이티브 컨텐츠팀 부문 담당업무]



1. 영상 컨텐츠기획

2. 국내/글로벌 온드미디어 컨텐츠 기획 및 제작

3. 브랜드 SNS 컨텐츠 기획 및 제작

4. 브랜드 아이덴티티를 고려한 key 컨텐츠 , 톤앤매너 정립

5. 스토리텔링 기반의 브랜디드 컨텐츠

6. 글로벌 인플루언서 제휴 컨텐츠 기획 및 제



* 외국인 지원 가능합니다. 단 기본적인 한국어 커뮤니케이션 스킬이 필요합니다.
* 외국인 취업비자 지원합니다.


* 우대사항


브랜드, 쇼핑, 화장품, SNS, 해외여행&출장을 좋아하는 분

외국계 기업 근무경력

사내 10명의 외국인이 근무중이며, 커뮤니케이션 기본 언어는 한국어지만,

외국어 커뮤니케이션 가능 하신 분 우대합니다. (영어, 일본어, 중국어 등)



진취적이며, 주도적인 성향 / 내성적이어도 주관이 뚜렷하신 분

소비자 브랜드 마케팅 유경험자

팀 프로젝트의 PM 유경험자 또는 팀원 멘토링, KPI 관리에 익숙하신 분

FMCG 관련 온, 오프라인 채널경험

종합광고 대행사나 마케팅 대행사 근무 경험

콘텐츠와 트렌드에 민감하며 글로벌 뷰티, 라이프 콘텐츠 소비를 즐기시는 분 우대



신규브랜드 기획 부터 런칭 및 성공적인 안착까지 경험이 있으신 분 우대","영어능통자(원어민수준), 유관업무 경력자, 해외근무 가능자, 관련 학과 전공자, 문서작성 우수자, 중국어가능자, 프리젠테이션 능력우수자, 영어가능자, 리더쉽 소유자, 관련 자격증 보유자, 대기업 근무 경험자, 해외연수자, 컴퓨터활용능력 우수자, 일본어가능자",주5일,"스톡옵션, 자율복장, 위로휴가, 상여금, 회식비 지원, 건강보험, 사내정원, 교육/세미나/스터디, 해외연수, 수평적 문화, 주5일제, 흡연공간, 멘토링 제도, 각종 기념일 선물, 경조금, 직무능력향상교육, 노동절 휴무, 우리사주제도, 주차 지원, 장기근속 포상, 연차제도, 휴식공간, 야간교통비 지급, 반차제도, 주차장, 산재보험, 월차제도, 자유로운 휴가문화, 사내 이벤트, 도서 구입비 지원, 리프레시 휴가, 포상휴가, 인센티브, 저녁 식사 지원, 비자 발급, 건강검진, 경조휴가, 성과급, 리더쉽강화교육, 신입 사원 교육, 음료/간식 제공, 고용보험, 공휴일 휴무, 우수사원 포상제도, 명절선물/명절상여, 퇴직금, 복리후생 지원, 탕비실, 국민연금 , 님/닉네임 호칭, 쾌적한 업무공간",담당자,1588-9350,FALSE,helpdesk@jobkorea.co.kr,FALSE,,0,TRUE,ADVANCED,A080044,브랜드 마케터,HOMEPAGE,https://www.klik.co.kr/jobs/0HAR16NA3QD7K,"CMN, ENG, JPN","ADVANCED, ADVANCED, ADVANCED",TRUE,UNKNOWN
IP7,㈜쓰리아이,KLIK,[3i] 그래픽 디자이너(graphic designer) 채용 건,CONTRACT,EXPERIENCED,BACHELOR,2/14/25,1100000000,1168000000,"[직무 내용 (Responsibilities)]

- 디자인 브리프를 분석하고 요구사항을 파악하여 이를 바탕으로 비주얼을 구상
- 초기 초안을 준비하고 아이디어를 제시
- 소프트웨어를 사용하여 일러스트, 로고 및 기타 디자인을 개발
- 소셜 미디어, 제품 포장, 웹사이트, 브로셔, 부스 디자인 및 디스플레이 등 브랜드
아이덴티티에 맞는 그래픽을 제작
- 피드백 반영하여 디자인을 수정, 최종 그래픽과 레이아웃이 시각적으로
매력적이고 브랜드에 부합하도록 보장할 수 있는 능력
- 소셜 미디어, 제품 포장, 웹사이트, 브로셔, 부스 디자인 및 디스플레이 등
브랜드 아이덴티티에 맞는 그래픽을 제작
- 현재의 비주얼 트렌드, 제품 관련 기술 및 디자인 기법에 대한 지식 유지
- 압박감 속에서도 작업을 진행하며 마감일을 맞출 수 있는 능력.","[자격 요건 및 기술 (Requirements and skills)]

- 최소 3년 이상의 그래픽 디자인 경험
- 일러스트레이션 또는 기타 그래픽 포트폴리오 사용 가능
- 디자인 소프트웨어 및 기술에 대한 이해도
(예: Figma, InDesign, Illustrator, Photoshop, Adobe Creative Suite 등)
- 미적 감각과 세부 사항에 대한 뛰어난 감각. 최소한의 지침으로 빠른 속도의
디자인 프로젝트를
처리할 수 있는 능력
- 영어 능력
- 체계적으로 작업을 진행하고 워크플로우를 관리
- 디자인, 순수 미술 또는 관련 분야 학위
- 비디오 편집, UI/UX 경험이 있으면 우대",,※ 국내 거주 외국인 구인/즉시 취업 가능한 F비자 자격 보유자,담당자,1588-9350,FALSE,helpdesk@jobkorea.co.kr,FALSE,,0,TRUE,BASIC,A120066,그래픽 디자이너,HOMEPAGE,https://www.klik.co.kr/jobs/0JGYB9MHD255V,ENG,NATIVE,FALSE,"F-2, F-4, F-5, F-6"
IP8,에스피이피센터,KLIK,[Full-Time] Biz English Teacher in SEOUL,FULL_TIME,EXPERIENCED,BACHELOR,2/14/25,1100000000,1168000000,"말하기 능력 향상 프로그램(SPEP)
SPEP는 가장 빠르게 성장하고 있는 유망한 영어 말하기 향상 전문 교육 기관 중 하나입니다. SPEP는 비즈니스 영어 교육으로 커리어를 확장하고자 하는 모든 분야의 전문 기업 강사를 찾고 있습니다.

최근 이력서, 사진, SPEP 지원서를 이메일(hrteam2@spep.co.kr)로 제출해 주세요. (최종 후보에 오른 지원자에게만 연락을 드립니다. 양해 부탁드립니다.)

[모든 교육 직책에 대한 최소 요구 사항]
- 미국, 캐나다, 호주, 영국, 뉴질랜드, 아일랜드, 남아프리카공화국 출신의 영어 원어민이어야 E2 비자 자격이 주어집니다.
- 모든 지원자는 모국어가 영어인 국가(미국, 캐나다, 호주, 영국, 뉴질랜드, 아일랜드, 남아프리카공화국)에 위치한 공인된 4년제 대학에서 최소 학사 학위를 소지해야 합니다.
- 아포스티유로 공증된 졸업장 원본이 있어야 합니다.
- 아포스티유가 첨부된 전국 범죄 경력 조회서가 있어야 합니다.

21. [FT] 비즈니스 영어 강사
[직무 설명]
- 수업 유형: 비즈니스 영어 및 커뮤니케이션 기술(말하기)
- 학생 비즈니스 전문가
- 레벨: 모든 레벨
- 수업 규모: 그룹 수업 및/또는 1:1
- 커리큘럼 표준화된 커리큘럼 및 코스 북(교육 제공)","[기본 자격 요건]
- 기업 현장 경력자(1년 이상) 또는 비즈니스 영어 강의 경력자(1년 이상) 우대
- 경영학, 교육학 또는 영어학 학사 학위 소지자 우대",,"[풀타임 근무지]
A. [FT] 서울(서울) - 강남, 서초, 용산, 영등포, 온라인 등
- 주요 교육 장소에 따라 일정이 다릅니다.
- 수업 스케줄: 5~8시간/일
➢ 월요일 ~ 금요일 오전 7시 ~ 오후 5시 또는 오전 11시 ~ 오후 8시
➢ 월요일~금요일 오전 8시~오후 6시 또는 오전 10시~오후 7시
➢ 월요일 ~ 금요일 오후 2시 ~ 오후 10시
➢ 월요일 ~ 금요일 오후 12시 ~ 오후 9시
- 점심 또는 저녁 휴식 가능
- 시작 날짜
➢ 2025년 2월 3일 (1월 1주 교육)
➢ 2025년 4월 28일 (4월 중 1주일 교육)

[풀타임 티칭 포지션 혜택]
- E2 비자 스폰서십
- 건강 보험
- 한국 연금 (한국 법률에 따라 국적/비자 유형에 따라 다름)
- 퇴직금
- 유급 연차 및 공휴일
- SPEP의 전문 교사 연수
- E2 및 F 비자 소지자를 위한 주택 수당 지원
- E2 및 F 비자 소지자를 위한 항공료 지원

[급여]
- 수업시수 100~120시간 기준: 250~287만원
- E2, F비자에 한하여 40만원 추가 주거수당 지급
- 베스트 티처 어워드",담당자,1588-9350,FALSE,helpdesk@jobkorea.co.kr,FALSE,,0,TRUE,BASIC,A050024,영어 강사,HOMEPAGE,https://www.klik.co.kr/jobs/0J89C9BSJ215H,ENG,NATIVE,FALSE,"F-2, F-4, F-5, F-6, E-2"
IP9,일성 유한책임회사,KLIK,日本マーケティング担当者求人,FULL_TIME,IRRELEVANT,BACHELOR,2/14/25,1100000000,1168000000,"2011년 설립된 글로벌 뷰티 브랜드 Vancor를 운영하고 있는 일성에서 일본 사업 확장을 위해 추가 채용을 진행합니다.
보다 자유로운 분위기에서 열정적으로 일하고 성장하고 싶은 분들의 많은 지원 바랍니다.

🏢 회사명: ILSEONG
https://ilscp.com
담당 브랜드: Vancor 등 뷰티 브랜드
===============================================
일본 마케팅 담당 (테구 근무)

👥 소속: 일본사업팀
채용 포지션: 일본 마케팅 담당자

🕵️‍♂️ 원하는 인재상: 🕵️‍♂️
- 최신 SNS 트렌드에 민감하고, SNS 콘텐츠를 자주 보고 포스팅하는 분 📈 인플루언서와의 소통이 가능한 분
- 인플루언서와의 소통에 관심이 많으신 분 🤝 인플루언서와의 소통에 관심이 많으신 분

담당업무: 📑 담당업무: 🌐 일본 인플루언서
- 일본 인플루언서 및 마케팅 대행사 관리 🌐 일본 인플루언서 및 마케팅 에이전시 관리
- 🗂 중장기 마케팅 전략 수립
- 💻 온라인 플랫폼의 고객 서비스
- 🛒 Qoo10, 자사 홈페이지 시스템 운영
- 🎉 오프라인 이벤트 기획
- 마케팅 KPI 설정 및 전략 수립 📊 마케팅 KPI 설정 및 전략 수립

필수조건: 📌 필수조건: 🗣 일본어 가능자
- 🗣 일본어를 원어민 수준으로 구사할 수 있는 분
- 한국인과의 의사소통에 지장이 없는 분 💬 한국어 가능자
- 🧑‍💻 엑셀, 워드, 파워포인트 사용 가능자
- 💖 한국 스킨케어 제품에 관심이 있는 분
- 한국 취업을 위한 비자발급에 결격사유가 없는 자 또는 비자 소지자","👍 우대조건: 
- 인플루언서 관련 업무 경험자
- 장기간 근무 가능자",,"<채용 관련 정보
- 지원조건: 한국에서 일할 수 있는 비자를 소지한 자
- 비자: E7 비자 발급 지원 가능 (비자 발급 조건 충족 시)
- 근무지: 대구광역시 동구 율량로 149-28
- 근무시간: 주 5일(월~금) 10:00 - 18:00 (점심시간 12:00 - 13:00)
- 📈 경력 및 스킬에 따라 상담 가능합니다.
- 급여: 사내 규정에 따라 연봉 3,700만 원",담당자,1588-9350,FALSE,helpdesk@jobkorea.co.kr,FALSE,ANNUAL_SALARY,"37,000,000",FALSE,ADVANCED,A090048,글로벌 마케터,HOMEPAGE,https://www.klik.co.kr/jobs/0GZ2E19TWT163,JPN,NATIVE,TRUE,"F-2, F-5, F-6, F-4, D-2, D-10, E-7"
IP10,㈜리팅랩스,KLIK,[정규직]태국환자 온.오프라인 상담(English/Thai),FULL_TIME,EXPERIENCED,BACHELOR,2/14/25,1100000000,1168000000,"- 태국 환자 온라인 상담 및 고객 응대 / 주요 채널: 태국 라인(Thai Line)
- 태국 에이전시와의 연락 및 응대/ 태국 에이전시와의 원활한 커뮤니케이션
- 태국 현지 상담회 상담 통역 / 태국 상담회에서 전문적이고 정확한 통역
- 태국 환자 원내 상담 시, 상담 통역 / 병원에서 태국 환자 통역 지원
","- 학력: 대졸이상(학사)
- 경력: 성형외과/피부과 태국어 환자 상담 업무 경험 2년~5년
- 언어: 타이어/영어 원어민 수준 구사
- 장기 근무 비자 가능자 (E/F) , 해외 출국에 결격 사유가 없는 자
- Microsoft OS , SNS 기초 지식 보유자
- 성형수술, 시술, 피부 관리 등 뷰티에 관심이 많은 분
",,"- 정규직
- 주5일(월~금), 10:00~19:00 (점심 13:00~14:00)
- 서울 강남구 강남대로 152길 22번지, 5층 (신사역 8번출구 도보 4분)
- Employment Type: Full-time ((3-month probation period)
- Working Hours: Monday to Friday, 10:00 AM - 7:00 PM
(Lunch -break: 1:00 PM - 2:00 PM)
- Location: 5th Floor, 22 Gangnam-daero 152-gil, Gangnam-gu, Seoul (4-minute walk from Exit 8, Sinsa Station)

[복지혜택] Employee Benefits
• 월 식대 20만원 별도 지급 (비과세)
• 직원 및 가족 대상 병원 할인 혜택 (연간 1,000만원 한도)
• 입사 기념일 포상 휴가+ 포상금 지급 (1년/2년/3년~ 혜택 up)
• 개인 성장을 위한 도서 구입비 지원, 온라인 교육 플랫폼 지원
• 생일 조기 퇴근
• 묻지도 따지지도 않는 반차/연차
• 명절 상여금 지급 (설, 추석)
• 산전 후 휴가, 육아 휴직 지원
• 팀 회식비 지급(회식 강요 없음)
• 저녁 제공(1인당 1만원 배달)
• 경조사지원(최소 20만원 ~ 최대 150만원)
• 퇴직금 별도",담당자,1588-9350,FALSE,helpdesk@jobkorea.co.kr,FALSE,,0,TRUE,BASIC,A070042,병원 고객 상담,HOMEPAGE,https://www.klik.co.kr/jobs/0HYHTYW5MT95Z,"ENG, THA","ADVANCED, NATIVE",FALSE,"F-2, F-4, F-5, F-6"
